mem=76.7148 MB
all [41.097 s, 100%]
|     run:02:events [0.0082655 s, 0.0201%]
|     run:03:loop-check [0.0083141 s, 0.0202%]
|     run:04:abort-local [0.055964 s, 0.136%]
|     run:05:abort-reduce [0.0078654 s, 0.0191%]
|     run:06:updatepar [0.021117 s, 0.0514%]
|     run:07:mixture [0.6323 s, 1.54%]
|     |     mixture:00:init [0.031172 s, 0.0758%]
|     |     mixture:01:smooth [0.1875 s, 0.456%]
|     |     |     smoothen:00: [0.074185 s, 0.181%]
|     |     |     smoothen:01: [0.11331 s, 0.276%]
|     |     mixture:02:calc [0.41363 s, 1.01%]
|     run:08:stat [0.21101 s, 0.513%]
|     |     stat:00:stat-add [0.040761 s, 0.0992%]
|     |     stat:01:stat-print [0.0081026 s, 0.0197%]
|     |     stat:02:local [0.13814 s, 0.336%]
|     |     stat:03:reduce [0.0084661 s, 0.0206%]
|     |     stat:04:vfslip [0.0077247 s, 0.0188%]
|     |     stat:05:young [0.0078121 s, 0.019%]
|     run:09:fs-start [0.10494 s, 0.255%]
|     |     fluid-start:00:convdiff-init [0.0078924 s, 0.0192%]
|     |     fluid-start:01:convdiff-start [0.069265 s, 0.169%]
|     |     |     convdiffmulti-start:00:dir-init [0.0078415 s, 0.0191%]
|     |     |     convdiffmulti-start:01:dir-start [0.012023 s, 0.0293%]
|     |     |     convdiffmulti-start:02:dir-init [0.0076836 s, 0.0187%]
|     |     |     convdiffmulti-start:03:dir-start [0.013159 s, 0.032%]
|     |     |     convdiffmulti-start:04:dir-init [0.009103 s, 0.0221%]
|     |     |     convdiffmulti-start:05:dir-start [0.011653 s, 0.0284%]
|     |     |     convdiffmulti-start:06:tovect [0.0078017 s, 0.019%]
|     |     fluid-start:02:convdiff-start [0.027778 s, 0.0676%]
|     run:10:fs-iters [21.549 s, 52.4%]
|     |     iter:01:iter [21.446 s, 52.2%]
|     |     |     fluid-iter:00:init [0.17566 s, 0.427%]
|     |     |     fluid-iter:01:bc-inletflux [0.082369 s, 0.2%]
|     |     |     |     inletflux:00:local [0.050422 s, 0.123%]
|     |     |     |     inletflux:01:corr [0.031947 s, 0.0777%]
|     |     |     fluid-iter:02:bc-outlet [0.08772 s, 0.213%]
|     |     |     |     outlet:00:local [0.056489 s, 0.137%]
|     |     |     |     outlet:01:corr [0.031231 s, 0.076%]
|     |     |     fluid-iter:03:bc-derived [0.030892 s, 0.0752%]
|     |     |     fluid-iter:04:forceinit [0.56451 s, 1.37%]
|     |     |     |     extforce:00:loc [0.56451 s, 1.37%]
|     |     |     fluid-iter:05:forceinit [0.36678 s, 0.892%]
|     |     |     fluid-iter:06:explvisc [0.71699 s, 1.74%]
|     |     |     fluid-iter:07:pgrad [0.14642 s, 0.356%]
|     |     |     fluid-iter:08:convdiff-iter [11.434 s, 27.8%]
|     |     |     |     convdiffmulti-iter:00:source [0.085277 s, 0.207%]
|     |     |     |     convdiffmulti-iter:01:dir-iter [3.6276 s, 8.83%]
|     |     |     |     |     convdiff-iter:00:init [0.037782 s, 0.0919%]
|     |     |     |     |     convdiff-iter:01:assemble [2.2116 s, 5.38%]
|     |     |     |     |     |     assemble:00:assemble [2.2116 s, 5.38%]
|     |     |     |     |     convdiff-iter:02:solve [1.126 s, 2.74%]
|     |     |     |     |     |     solve:00:convert [1.017 s, 2.47%]
|     |     |     |     |     |     solve:01:copy [0.10898 s, 0.265%]
|     |     |     |     |     convdiff-iter:03:apply [0.25219 s, 0.614%]
|     |     |     |     convdiffmulti-iter:02:dir-linreport [0.1373 s, 0.334%]
|     |     |     |     convdiffmulti-iter:03:dir-iter [3.614 s, 8.79%]
|     |     |     |     |     convdiff-iter:00:init [0.036015 s, 0.0876%]
|     |     |     |     |     convdiff-iter:01:assemble [2.242 s, 5.46%]
|     |     |     |     |     |     assemble:00:assemble [2.242 s, 5.46%]
|     |     |     |     |     convdiff-iter:02:solve [1.0853 s, 2.64%]
|     |     |     |     |     |     solve:00:convert [0.98216 s, 2.39%]
|     |     |     |     |     |     solve:01:copy [0.10312 s, 0.251%]
|     |     |     |     |     convdiff-iter:03:apply [0.25074 s, 0.61%]
|     |     |     |     convdiffmulti-iter:04:dir-linreport [0.13386 s, 0.326%]
|     |     |     |     convdiffmulti-iter:05:dir-iter [3.6069 s, 8.78%]
|     |     |     |     |     convdiff-iter:00:init [0.036632 s, 0.0891%]
|     |     |     |     |     convdiff-iter:01:assemble [2.2648 s, 5.51%]
|     |     |     |     |     |     assemble:00:assemble [2.2648 s, 5.51%]
|     |     |     |     |     convdiff-iter:02:solve [1.0582 s, 2.57%]
|     |     |     |     |     |     solve:00:convert [0.95665 s, 2.33%]
|     |     |     |     |     |     solve:01:copy [0.10156 s, 0.247%]
|     |     |     |     |     convdiff-iter:03:apply [0.24723 s, 0.602%]
|     |     |     |     convdiffmulti-iter:06:dir-linreport [0.13782 s, 0.335%]
|     |     |     |     convdiffmulti-iter:07:tovect [0.091147 s, 0.222%]
|     |     |     fluid-iter:09:diag [0.71045 s, 1.73%]
|     |     |     |     diag:00:local [0.49927 s, 1.21%]
|     |     |     |     diag:01:interp [0.21117 s, 0.514%]
|     |     |     fluid-iter:10:pcorr-assemble [1.0706 s, 2.61%]
|     |     |     fluid-iter:11:pcorr-solve [3.9863 s, 9.7%]
|     |     |     |     solve:00:solve [3.6986 s, 9%]
|     |     |     |     solve:01:copy [0.28771 s, 0.7%]
|     |     |     fluid-iter:12:pcorr-apply [0.78453 s, 1.91%]
|     |     |     fluid-iter:13:convdiff-corr [1.2538 s, 3.05%]
|     |     |     |     corr:00:dir-corr [0.25917 s, 0.631%]
|     |     |     |     |     corr:00:apply [0.25917 s, 0.631%]
|     |     |     |     corr:01:dir-corr [0.39951 s, 0.972%]
|     |     |     |     |     corr:00:apply [0.39951 s, 0.972%]
|     |     |     |     corr:02:dir-corr [0.39339 s, 0.957%]
|     |     |     |     |     corr:00:apply [0.39339 s, 0.957%]
|     |     |     |     corr:03:tovect [0.20177 s, 0.491%]
|     |     |     fluid-iter:14:inc-iter [0.035247 s, 0.0858%]
|     |     iter:02:reduce [0.038924 s, 0.0947%]
|     |     iter:03:report [0.03292 s, 0.0801%]
|     |     iter:04:convcheck [0.03137 s, 0.0763%]
|     run:11:fs-finish [0.088006 s, 0.214%]
|     |     fluid-finish:00:inctime [0.04568 s, 0.111%]
|     |     fluid-finish:01:convdiff-finish [0.042327 s, 0.103%]
