t,r
1.1,0.106922
1.2,0.116274
1.3,0.129338
1.4,0.138399
1.5,0.146445
1.6,0.154958
1.7,0.162098
1.8,0.168203
1.9,0.174623
2,0.182837
2.1,0.191356
2.2,0.198152
2.3,0.203933
2.4,0.209087
2.5,0.213896
2.6,0.21859
2.7,0.223339
2.8,0.228272
2.9,0.233557
3,0.239471
3.1,0.245699
3.2,0.251438
3.3,0.25661
3.4,0.261483
3.5,0.266201
3.6,0.270903
3.7,0.275777
3.8,0.281061
3.9,0.286507
4,0.291391
4.1,0.295465
4.2,0.298995
4.3,0.30231
4.4,0.305615
4.5,0.309113
4.6,0.312966
4.7,0.317094
4.8,0.321291
4.9,0.325321
5,0.329057
5.1,0.33247
5.2,0.335573
5.3,0.338405
5.4,0.341056
5.5,0.343633
5.6,0.346217
5.7,0.348896
5.8,0.3518
5.9,0.355088
6,0.358632
6.1,0.362063
6.2,0.365095
6.3,0.367705
6.4,0.37007
6.5,0.372315
6.6,0.374512
6.7,0.376719
6.8,0.378993
6.9,0.381394
7,0.383933
7.1,0.386601
7.2,0.389382
7.3,0.392252
7.4,0.395175
7.5,0.398117
7.6,0.401047
7.7,0.403934
7.8,0.406751
7.9,0.409479
8,0.412126
8.1,0.414708
8.2,0.417236
8.3,0.41972
8.4,0.42217
8.5,0.424585
8.6,0.42696
8.7,0.429286
8.8,0.431559
8.9,0.433775
9,0.43593
9.1,0.438035
9.2,0.440109
9.3,0.442172
9.4,0.444243
9.5,0.446342
9.6,0.448489
9.7,0.450708
9.8,0.452996
9.9,0.455332
10,0.457686
10.1,0.460029
10.2,0.46233
10.3,0.464563
10.4,0.466721
10.5,0.468803
10.6,0.470812
10.7,0.472749
10.8,0.474618
10.9,0.476423
11,0.478174
11.1,0.4799
11.2,0.481631
11.3,0.483394
11.4,0.485222
11.5,0.487161
11.6,0.489277
11.7,0.491664
11.8,0.494313
11.9,0.497089
12,0.49979
12.1,0.50225
12.2,0.504405
12.3,0.506313
12.4,0.508056
12.5,0.509682
12.6,0.511226
12.7,0.512709
12.8,0.514151
12.9,0.515565
13,0.516965
13.1,0.518362
13.2,0.519768
13.3,0.521194
13.4,0.522653
13.5,0.52416
13.6,0.525732
13.7,0.527393
13.8,0.529175
13.9,0.5311
14,0.533155
14.1,0.535309
14.2,0.537516
14.3,0.539718
14.4,0.541859
14.5,0.543894
14.6,0.545808
14.7,0.547602
14.8,0.549282
14.9,0.550854
15,0.552325
15.1,0.553703
15.2,0.554994
15.3,0.556208
15.4,0.557367
15.5,0.558493
15.6,0.559604
15.7,0.560715
15.8,0.561845
15.9,0.56301
16,0.564233
16.1,0.565544
16.2,0.566988
16.3,0.568606
16.4,0.570386
16.5,0.572279
16.6,0.574202
16.7,0.576062
16.8,0.577783
16.9,0.579327
17,0.580696
17.1,0.581943
17.2,0.583104
17.3,0.584208
17.4,0.585273
17.5,0.586317
17.6,0.587355
17.7,0.588399
17.8,0.589464
17.9,0.590567
18,0.591714
18.1,0.592906
18.2,0.594139
18.3,0.595408
18.4,0.59671
18.5,0.598037
18.6,0.599384
18.7,0.600743
