t iter dt dta diff m1 m2 ekin c1x c1y c1z c2x c2y c2z vc1x vc1y vc1z vc2x vc2y vc2z v1x v1y v1z v2x v2y v2z meshposx meshvelx 
0 4 0.02 0.02 0.0003611119486070503 0.02713673774543979 0.004113262254560206 7.812499999999985e-06 0.5225721159090763 0.5162073613646394 0.015625 0.3510832638728102 0.393073942851519 0.015625 26.12860579545381 25.81036806823197 0.7812499999999999 17.55416319364051 19.65369714257595 0.78125 0.01999999999999969 0.009999999999999846 0 0.02000000000000001 0.01 0 0 0 
0.02 8 0.02 0.02 0.0004722230581554339 0.0271367377455981 0.004113262254401899 8.151987781503348e-06 0.5225130834642592 0.5161759700126862 0.015625 0.3514727231018259 0.3932810433992724 0.015625 -0.002951622240854324 -0.001569567597659027 0 0.01947296145078103 0.01035502738767347 0 0.01996598883697746 0.01005522124487459 0 0.01998047291330053 0.01026415771564466 0 0 0 
0.04 12 0.02 0.02 0.0005030587937740853 0.02713673774544338 0.004113262254556624 9.492019554059986e-06 0.5224547899732745 0.5161434582329121 0.015625 0.3518573071875655 0.3934955358400123 0.015625 -0.002914674549231444 -0.001625588988707349 0 0.01922920428698016 0.0107246220369922 0 0.01992659811521437 0.01012691850416016 0 0.01996028994960401 0.01060442726933471 0 0 0 
0.06 16 0.02 0.02 0.0004840695967371023 0.02713673774530693 0.004113262254693072 1.177854980762241e-05 0.5223973785087564 0.5161098091901856 0.015625 0.3522360722122617 0.3937175312315159 0.015625 -0.002870573225904893 -0.001682452136325674 8.673617379884035e-17 0.01893825123481241 0.01109976957517911 0 0.01988968139357944 0.01019980112539706 0 0.0199460565184471 0.01095671271376941 0 0 0 
0.08 20 0.02 0.02 0.0004432480253603094 0.02713673774206947 0.004113262257930544 1.458731243597785e-05 0.522339563312636 0.5160754198907339 0.015625 0.3526175009340723 0.3939444104670393 0.015625 -0.002890759806023491 -0.001719464972582685 0 0.01907143609053141 0.01134396177617236 0 0.01985168440670876 0.01025496447324784 0 0.01991067703522381 0.01116182659898857 0 0 0 
0.1 24 0.02 0.02 0.000386517186340777 0.02713673774201442 0.004113262257985575 1.764374415245686e-05 0.5222802567648536 0.5160406426448549 0.015625 0.353008768531897 0.3941738490363173 0.015625 -0.002965327389120587 -0.001738862293948484 0 0.01956337989123258 0.01147192846389922 0 0.01980615825662131 0.01028404428355442 0 0.01984801280150569 0.01129525268293527 0 0 0 
0.12 28 0.02 0.02 0.0003100370224080382 0.02713673774215473 0.004113262257845262 2.07779433894615e-05 0.5222239655506303 0.5160053807673817 0.015625 0.3533801428324042 0.3944064848966653 0.015625 -0.002814560711161818 -0.001763093873663468 0 0.0185687150253605 0.01163179301739981 0 0.01977377011451579 0.01030888912583521 0 0.0197363752278974 0.0114317301240756 0 0 0 
0.14 32 0.02 0.02 0.0002628331797326303 0.02713673775265731 0.004113262247342689 2.384013241330796e-05 0.5221716447350074 0.5159701220020974 0.015625 0.3537253224961074 0.3946390999190874 0.015625 -0.002616040781144857 -0.001762938264215919 0 0.01725898318516161 0.01163075112110556 0 0.0197791057113093 0.01033840975125006 0 0.0196315535069898 0.01154820969386013 0 0 0 
0.16 35 0.02 0.02 0.0009993694938981478 0.02713673775265799 0.004113262247342 2.672794586473062e-05 0.5221195767065567 0.5159347095710122 0.015625 0.3540688348588731 0.3948727290430479 0.015625 -0.002603401422535123 -0.001770621554259 0 0.01717561813828206 0.0116814561980233 0 0.01980146481851621 0.01035568923147302 0 0.01954931864444162 0.01159374928631563 0 0 0 
0.18 38 0.02 0.02 0.0008461016266614514 0.02713673775267404 0.004113262247325961 2.934897755421619e-05 0.5220654184008414 0.5158998709417677 0.015625 0.3544261375661301 0.3951025725800457 0.015625 -0.002707915285765639 -0.001741931462223567 0 0.01786513536284895 0.01149217684988935 0 0.01982801335705964 0.01037069897607108 0 0.01949596300967902 0.01153116632329207 0 0 0 
